ダウンロードした時刻：2025/11/26 18:56:59

,千葉,千葉,千葉
2025/3/25,17.4,8,1
2025/3/26,19.8,8,1
2025/3/27,17.8,8,1
2025/3/28,19.8,8,1
2025/3/29,7.8,8,1
2025/3/30,9.3,8,1
2025/3/31,7.4,8,1
2025/4/1,6.6,8,1
2025/4/2,10.4,8,1
2025/4/3,8.7,8,1
2025/4/4,11.8,8,1
2025/4/5,12.1,8,1
2025/4/6,15.2,8,1
2025/4/7,14.2,8,1
2025/4/8,15.4,8,1
2025/4/9,16.2,8,1
2025/4/10,17.1,8,1
2025/4/11,16.7,8,1
2025/4/12,14.1,8,1
2025/4/13,13.3,8,1
2025/4/14,17.3,8,1
2025/4/15,16.1,8,1
2025/4/16,15.0,8,1
2025/4/17,17.5,8,1
2025/4/18,19.2,8,1
2025/4/19,19.7,8,1
2025/4/20,20.7,8,1
2025/4/21,17.6,8,1
2025/4/22,18.1,8,1
2025/4/23,18.4,8,1
2025/4/24,18.4,8,1
2025/4/25,18.3,8,1
2025/4/26,15.1,8,1
2025/4/27,17.5,8,1
2025/4/28,18.3,8,1
2025/4/29,17.5,8,1
2025/4/30,17.6,8,1
2025/5/1,18.6,8,1
2025/5/2,16.6,8,1
2025/5/3,18.5,8,1
2025/5/4,19.4,8,1
2025/5/5,17.9,8,1
2025/5/6,15.6,8,1
2025/5/7,18.5,8,1
2025/5/8,18.0,8,1
2025/5/9,18.8,8,1
2025/5/10,20.0,8,1
2025/5/11,21.4,8,1
2025/5/12,17.4,8,1
2025/5/13,19.7,8,1
2025/5/14,20.7,8,1
2025/5/15,21.0,8,1
2025/5/16,21.5,8,1
2025/5/17,22.0,8,1
2025/5/18,23.4,8,1
2025/5/19,19.8,8,1
2025/5/20,23.6,8,1
2025/5/21,24.0,8,1
2025/5/22,22.1,8,1
2025/5/23,18.6,8,1
2025/5/24,17.5,8,1
2025/5/25,18.4,8,1
2025/5/26,18.7,8,1
2025/5/27,17.5,8,1
2025/5/28,19.4,8,1
2025/5/29,19.3,8,1
2025/5/30,15.3,8,1
2025/5/31,15.5,8,1
2025/6/1,18.1,8,1
2025/6/2,20.7,8,1
2025/6/3,19.6,8,1
2025/6/4,22.1,8,1
2025/6/5,23.1,8,1
2025/6/6,23.8,8,1
2025/6/7,23.7,8,1
2025/6/8,23.4,8,1
2025/6/9,21.6,8,1
2025/6/10,21.7,8,1
2025/6/11,22.6,8,1
2025/6/12,23.1,8,1
2025/6/13,22.4,8,1
2025/6/14,22.6,8,1
2025/6/15,25.7,8,1
2025/6/16,27.4,8,1
2025/6/17,28.6,8,1
2025/6/18,27.8,8,1
2025/6/19,26.8,8,1
2025/6/20,26.4,8,1
2025/6/21,26.5,8,1
2025/6/22,28.0,8,1
2025/6/23,28.2,8,1
2025/6/24,27.2,8,1
2025/6/25,26.5,8,1
2025/6/26,27.3,8,1
2025/6/27,27.3,8,1
2025/6/28,27.9,8,1
2025/6/29,27.2,8,1
2025/6/30,27.4,8,1
2025/7/1,27.8,8,1
2025/7/2,27.8,8,1
2025/7/3,27.8,8,1
2025/7/4,27.7,8,1
2025/7/5,29.1,8,1
2025/7/6,29.2,8,1
2025/7/7,29.8,8,1
2025/7/8,29.6,8,1
2025/7/9,29.6,8,1
2025/7/10,27.4,8,1
2025/7/11,22.7,8,1
2025/7/12,24.0,8,1
2025/7/13,26.1,8,1
2025/7/14,26.8,8,1
2025/7/15,27.0,8,1
2025/7/16,27.4,8,1
2025/7/17,28.4,8,1
2025/7/18,28.3,8,1
2025/7/19,28.3,8,1
2025/7/20,28.7,8,1
2025/7/21,28.9,8,1
2025/7/22,28.9,8,1
2025/7/23,29.0,8,1
2025/7/24,29.3,8,1
2025/7/25,29.9,8,1
2025/7/26,29.9,8,1
2025/7/27,29.3,8,1
2025/7/28,29.2,8,1
2025/7/29,29.7,8,1
2025/7/30,28.4,8,1
2025/7/31,27.4,8,1
2025/8/1,25.8,8,1
2025/8/2,28.5,8,1
2025/8/3,29.9,8,1
2025/8/4,30.8,8,1
2025/8/5,31.2,8,1
2025/8/6,31.4,8,1
2025/8/7,30.0,8,1
2025/8/8,29.9,8,1
2025/8/9,28.4,8,1
2025/8/10,28.0,8,1
2025/8/11,28.3,8,1
2025/8/12,28.4,8,1
2025/8/13,27.6,8,1
2025/8/14,27.3,8,1
2025/8/15,28.4,8,1
2025/8/16,28.7,8,1
2025/8/17,29.7,8,1
2025/8/18,30.2,8,1
2025/8/19,29.6,8,1
2025/8/20,30.0,8,1
2025/8/21,30.8,8,1
2025/8/22,30.3,8,1
2025/8/23,30.4,8,1
2025/8/24,30.6,8,1
2025/8/25,30.1,8,1
2025/8/26,30.1,8,1
2025/8/27,30.5,8,1
2025/8/28,28.7,8,1
2025/8/29,28.9,8,1
2025/8/30,31.0,8,1
2025/8/31,30.9,8,1
2025/9/1,30.6,8,1
2025/9/2,31.1,8,1
2025/9/3,30.4,8,1
2025/9/4,27.9,8,1
2025/9/5,25.8,8,1
2025/9/6,27.2,8,1
2025/9/7,28.1,8,1
2025/9/8,29.3,8,1
2025/9/9,29.8,8,1
2025/9/10,28.8,8,1
2025/9/11,27.7,8,1
2025/9/12,25.0,8,1
2025/9/13,27.1,8,1
2025/9/14,29.1,8,1
2025/9/15,27.5,8,1
2025/9/16,28.6,8,1
2025/9/17,29.5,8,1
2025/9/18,28.3,8,1
2025/9/19,22.8,8,1
2025/9/20,25.5,8,1
2025/9/21,26.8,8,1
2025/9/22,22.8,8,1
2025/9/23,21.9,8,1
2025/9/24,22.5,8,1
2025/9/25,24.0,8,1
2025/9/26,26.4,8,1
2025/9/27,25.0,8,1
2025/9/28,25.0,8,1
2025/9/29,26.5,8,1
2025/9/30,23.7,8,1
2025/10/1,21.4,8,1
2025/10/2,22.4,8,1
2025/10/3,23.1,8,1
2025/10/4,22.7,8,1
2025/10/5,24.8,8,1
2025/10/6,24.7,8,1
2025/10/7,22.8,8,1
2025/10/8,23.8,8,1
2025/10/9,21.2,8,1
2025/10/10,20.1,8,1
2025/10/11,18.0,8,1
2025/10/12,20.0,8,1
2025/10/13,21.0,8,1
2025/10/14,18.6,8,1
2025/10/15,17.7,8,1
2025/10/16,18.6,8,1
2025/10/17,20.2,8,1
2025/10/18,21.7,8,1
2025/10/19,20.5,8,1
2025/10/20,17.5,8,1
2025/10/21,15.9,8,1
2025/10/22,13.4,8,1
2025/10/23,14.6,8,1
2025/10/24,14.3,8,1
2025/10/25,13.5,8,1
2025/10/26,15.6,8,1
2025/10/27,19.3,8,1
2025/10/28,17.4,8,1
2025/10/29,13.9,8,1
2025/10/30,14.8,8,1
2025/10/31,15.5,8,1
2025/11/1,18.7,8,1
2025/11/2,17.1,8,1
2025/11/3,15.4,8,1
2025/11/4,13.4,8,1
2025/11/5,13.6,8,1
2025/11/6,15.2,8,1
2025/11/7,16.3,8,1
2025/11/8,14.0,8,1
2025/11/9,12.5,8,1
2025/11/10,15.1,8,1
2025/11/11,13.4,8,1
2025/11/12,12.1,8,1
2025/11/13,11.9,8,1
2025/11/14,15.0,8,1
2025/11/15,14.1,8,1
2025/11/16,13.6,8,1
2025/11/17,16.8,8,1
2025/11/18,12.6,8,1
2025/11/19,9.6,8,1
2025/11/20,10.8,8,1
2025/11/21,11.5,8,1
2025/11/22,13.2,8,1
2025/11/23,12.7,8,1
2025/11/24,13.6,8,1
2025/11/25,11.6,8,1
